deal_id,company_name,industry,rep_name,lead_source,product_line,deal_stage,deal_value,created_date,close_date,days_in_stage,last_activity_days_ago,probability_pct,competitor_mentioned,num_stakeholders,next_action
DL-1001,Cedar Health Alliance,Ambulatory Surgery Center,Nina Patel,Outbound,Meridian Core,Closed Won,21000,2024-09-13,2024-11-23,0,48,97,None,3,Follow-up call
DL-1002,Pacific Clinic,Hospital System,Fatima Hassan,Partner,Meridian Pro,Closed Lost,58000,2024-08-02,2024-08-31,0,58,2,In-House Solution,5,Check in
DL-1003,Maple Oncology Partners,Urgent Care,Connor Walsh,Partner,Meridian Pro,Closed Won,86000,2024-11-02,2024-12-27,0,65,100,None,4,Pricing review
DL-1004,Clearwater Oncology Partners,Urgent Care,Lauren Tate,Conference,Meridian Core,Closed Won,30000,2024-10-21,2024-11-30,0,70,99,None,3,Executive meeting
DL-1005,Clearwater Healthcare System,Health Network,Lauren Tate,Conference,Meridian Enterprise,Closed Won,199000,2024-11-25,2025-02-04,0,34,100,In-House Solution,1,Executive meeting
DL-1006,Ivy Brook Care Partners,Ambulatory Surgery Center,Marcus Webb,Outbound,Meridian Pro,Closed Lost,72000,2024-08-27,2024-10-15,0,57,0,None,2,Pilot debrief
DL-1007,Granite Medical Group,Urgent Care,Connor Walsh,Inbound,Meridian Core,Closed Won,14000,2025-01-02,2025-02-05,0,68,97,None,1,Demo scheduled
DL-1008,Northbay Women's Health,Urgent Care,Devon Mills,Outbound,Meridian Enterprise,Closed Won,378000,2024-07-18,2024-10-10,0,81,100,In-House Solution,1,Legal review
DL-1009,Cascade Medical Center,Outpatient Clinic,Tomas Rivera,Outbound,Meridian Enterprise,Closed Won,405000,2024-08-01,2024-10-24,0,85,100,None,3,Check in
DL-1010,Ivy Brook Medical Group,Urgent Care,Lauren Tate,Partner,Meridian Pro,Closed Won,68000,2024-11-05,2024-12-23,0,29,100,Cerner,2,Contract sent
DL-1011,Pacific Health Alliance,Outpatient Clinic,Fatima Hassan,Outbound,Meridian Pro,Closed Won,115000,2024-12-23,2025-02-12,0,56,100,None,3,Executive meeting
DL-1012,Valley Regional Health,Hospital System,Marcus Webb,Outbound,Meridian Core,Demo Scheduled,14000,2024-09-20,2024-11-22,8,8,42,Cerner,1,Contract sent
DL-1013,Valley Cardiac Institute,Hospital System,Tyler Ross,Outbound,Meridian Core,Closed Won,35000,2024-10-20,2024-12-29,0,64,99,Cerner,1,Check in
DL-1014,Forge Medical Group,Specialty Practice,Lauren Tate,Conference,Meridian Enterprise,Closed Won,398000,2024-07-26,2024-09-26,0,62,97,None,2,Follow-up call
DL-1015,Lakeshore Surgical Center,Specialty Practice,Connor Walsh,Inbound,Meridian Pro,Closed Won,49000,2024-12-22,2025-01-25,0,52,95,In-House Solution,4,Demo scheduled
DL-1016,Crystal Clinic,Urgent Care,Megan Torres,Referral,Meridian Core,Closed Won,19000,2024-12-06,2025-01-14,0,72,100,Epic,3,Contract sent
DL-1017,Crestwood Health Services,Hospital System,Priya Nair,Referral,Meridian Core,Closed Won,12000,2024-10-04,2024-10-27,0,59,96,None,3,Pilot debrief
DL-1018,Crystal Medical Center,Hospital System,Tomas Rivera,Outbound,Meridian Pro,Demo Scheduled,91000,2025-01-12,2025-03-09,6,13,37,Epic,1,Pricing review
DL-1019,Valley Community Hospital,Health Network,Nina Patel,Partner,Meridian Enterprise,Closed Won,347000,2024-09-09,2024-10-31,0,84,100,Cerner,4,Follow-up call
DL-1020,Pinecrest Health Alliance,Health Network,Marcus Webb,Outbound,Meridian Enterprise,Closed Won,168000,2024-11-01,2025-01-11,0,88,100,Cerner,7,Follow-up call
DL-1021,Heritage Community Hospital,Outpatient Clinic,Keiko Yamada,Outbound,Meridian Enterprise,Closed Won,178000,2024-07-06,2024-09-26,0,89,100,None,1,Pilot debrief
DL-1022,Shoreline Health System,Urgent Care,James Okafor,Inbound,Meridian Core,Closed Won,40000,2024-09-01,2024-10-22,0,68,100,None,4,Demo scheduled
DL-1023,Ridgeline Hospital,Outpatient Clinic,Tyler Ross,Outbound,Meridian Core,Qualified,41000,2025-01-06,2025-03-17,23,4,35,None,3,Legal review
DL-1024,Redwood Women's Health,Hospital System,Lauren Tate,Conference,Meridian Core,Prospecting,21000,2025-01-02,2025-02-24,16,7,19,Cerner,7,Send proposal
DL-1025,Atlas Community Hospital,Specialty Practice,Chris Park,Referral,Meridian Enterprise,Closed Won,163000,2024-11-12,2025-01-10,0,66,100,Cerner,4,Contract sent
DL-1026,Crystal Women's Health,Specialty Practice,Sarah Chen,Inbound,Meridian Pro,Prospecting,112000,2024-12-30,2025-02-19,10,23,18,None,2,Executive meeting
