deal_id,company_name,industry,rep_name,lead_source,product_line,deal_stage,deal_value,created_date,close_date,days_in_stage,last_activity_days_ago,probability_pct,competitor_mentioned,num_stakeholders,next_action
DL-1001,Heritage Oncology Partners,Health Network,James Okafor,Inbound,Meridian Enterprise,Closed Won,479000,2024-01-13,2024-03-11,0,57,95,In-House Solution,1,Contract sent
DL-1002,Coastal Healthcare System,Health Network,Aisha Brooks,Referral,Meridian Pro,Closed Lost,40000,2025-01-01,2025-02-14,0,74,1,In-House Solution,6,Follow-up call
DL-1003,Valley Health System,Outpatient Clinic,Priya Nair,Referral,Meridian Enterprise,Closed Won,235000,2024-07-13,2024-09-12,0,59,100,None,3,Executive meeting
DL-1004,Valley Clinic,Hospital System,Andre Bishop,Conference,Meridian Core,Closed Won,26000,2024-10-22,2024-12-19,0,35,98,None,8,Check in
DL-1005,Lakeshore Hospital,Outpatient Clinic,Andre Bishop,Conference,Meridian Enterprise,Closed Won,449000,2024-03-24,2024-06-11,0,70,97,Cerner,4,Demo scheduled
DL-1006,Osprey Care Partners,Ambulatory Surgery Center,Nina Patel,Outbound,Meridian Pro,Demo Scheduled,47000,2024-11-23,2025-01-13,14,5,36,None,3,Send proposal
DL-1007,Heritage Hospital,Health Network,Chris Park,Conference,Meridian Enterprise,Closed Won,387000,2024-07-21,2024-10-05,0,67,100,Cerner,8,Follow-up call
DL-1008,Harbor Regional Health,Specialty Practice,Devon Mills,Conference,Meridian Enterprise,Negotiation,339000,2025-02-09,2025-04-25,45,1,75,In-House Solution,3,Executive meeting
DL-1009,Willow Cardiac Institute,Ambulatory Surgery Center,Devon Mills,Outbound,Meridian Enterprise,Negotiation,234000,2024-08-20,2024-11-19,21,14,75,None,2,Send proposal
DL-1010,Northbay Care Partners,Hospital System,Julia Novak,Conference,Meridian Pro,Closed Won,79000,2024-01-01,2024-02-11,0,86,100,None,8,Executive meeting
DL-1011,Coastal Oncology Partners,Ambulatory Surgery Center,Priya Nair,Referral,Meridian Pro,Closed Won,110000,2025-01-24,2025-02-18,0,85,100,Epic,2,Check in
DL-1012,Ridgeline Oncology Partners,Specialty Practice,Tomas Rivera,Referral,Meridian Enterprise,Closed Won,331000,2024-07-23,2024-08-31,0,34,100,None,2,Contract sent
DL-1013,Cedar Hospital,Hospital System,Marcus Webb,Outbound,Meridian Pro,Closed Won,49000,2024-04-27,2024-06-26,0,72,100,None,8,Send proposal
DL-1014,Riverside Medical Center,Ambulatory Surgery Center,Chris Park,Inbound,Meridian Pro,Closed Won,85000,2025-02-17,2025-03-25,0,85,95,In-House Solution,4,Check in
DL-1015,Briar Health System,Health Network,Rachel Kim,Inbound,Meridian Enterprise,Closed Won,316000,2025-02-13,2025-03-31,0,45,96,Epic,1,Check in
DL-1016,Valley Clinic,Specialty Practice,Priya Nair,Referral,Meridian Pro,Closed Lost,67000,2025-01-20,2025-02-21,0,40,1,None,4,Legal review
DL-1017,Cedar Medical Center,Ambulatory Surgery Center,Sam Elliot,Partner,Meridian Enterprise,Closed Won,349000,2024-12-22,2025-02-12,0,43,95,Cerner,3,Follow-up call
DL-1018,Atlas Regional Health,Urgent Care,Marcus Webb,Outbound,Meridian Core,Closed Won,15000,2024-10-26,2024-12-25,0,41,96,Cerner,2,Demo scheduled
